SHA code,SHA name,PCT code,PCT name,Practice code,Practice name,IMD 2010
Q30,North East Strategic Health Authority,5D7,Newcastle,A86003,SAVILLE MEDICAL GROUP,27.77
Q30,North East Strategic Health Authority,5D7,Newcastle,A86004,PROSPECT MEDICAL CENTRE,39.22
Q30,North East Strategic Health Authority,5D7,Newcastle,A86006,ROSEWORTH SURGERY,14.96
Q30,North East Strategic Health Authority,5D7,Newcastle,A86007,AVENUE MEDICAL PRACTICE,11.09
Q30,North East Strategic Health Authority,5D7,Newcastle,A86008,PARK MEDICAL GROUP,22.80
Q30,North East Strategic Health Authority,5D7,Newcastle,A86009,FALCON MEDICAL GROUP,45.23
Q30,North East Strategic Health Authority,5D7,Newcastle,A86010,BIDDLESTONE HEALTH GROUP,18.22
Q30,North East Strategic Health Authority,5D7,Newcastle,A86011,WALKER MEDICAL GROUP,48.85
Q30,North East Strategic Health Authority,5D7,Newcastle,A86012,WEST ROAD MEDICAL CENTRE,36.51
Q30,North East Strategic Health Authority,5D7,Newcastle,A86013,DENTON PARK MEDICAL GROUP,33.77
Q30,North East Strategic Health Authority,5D7,Newcastle,A86015,HOLLY MEDICAL GROUP,10.28
Q30,North East Strategic Health Authority,5D7,Newcastle,A86017,CRUDDAS PARK SURGERY,46.39
Q30,North East Strategic Health Authority,5D7,Newcastle,A86018,THE GROVE MEDICAL GROUP,12.17
Q30,North East Strategic Health Authority,5D7,Newcastle,A86020,THE SURGERY-OSBORNE ROAD,10.18
Q30,North East Strategic Health Authority,5D7,Newcastle,A86021,HOLMSIDE MEDICAL GROUP,31.36
Q30,North East Strategic Health Authority,5D7,Newcastle,A86022,PARKWAY MEDICAL GROUP,21.39
Q30,North East Strategic Health Authority,5D7,Newcastle,A86023,37A MEDICAL CENTRE,34.98
Q30,North East Strategic Health Authority,5D7,Newcastle,A86024,17-19 HEATON ROAD,35.71
Q30,North East Strategic Health Authority,5D7,Newcastle,A86025,WESTERHOPE MEDICAL GROUP,37.79
Q30,North East Strategic Health Authority,5D7,Newcastle,A86026,THROCKLEY PRIMARY CARE CENTRE,29.37
Q30,North East Strategic Health Authority,5D7,Newcastle,A86027,NEWCASTLE MEDICAL CENTRE,21.98
Q30,North East Strategic Health Authority,5D7,Newcastle,A86028,ELMFIELD HEALTH GROUP,19.13
Q30,North East Strategic Health Authority,5D7,Newcastle,A86029,THORNFIELD MEDICAL GROUP,35.43
Q30,North East Strategic Health Authority,5D7,Newcastle,A86030,BETTS AVENUE MEDICAL GROUP,38.32
Q30,North East Strategic Health Authority,5D7,Newcastle,A86031,FENHAM HALL SURGERY,33.60
Q30,North East Strategic Health Authority,5D7,Newcastle,A86033,BRUNTON PARK,7.29
Q30,North East Strategic Health Authority,5D7,Newcastle,A86035,BROADWAY MEDICAL CENTRE,18.45
Q30,North East Strategic Health Authority,5D7,Newcastle,A86036,GOSFORTH MEMORIAL MED.CTR,13.79
Q30,North East Strategic Health Authority,5D7,Newcastle,A86037,GRAINGER MEDICAL GROUP,47.33
Q30,North East Strategic Health Authority,5D7,Newcastle,A86038,NEWBURN SURGERY,31.35
Q30,North East Strategic Health Authority,5D7,Newcastle,A86040,ST.ANTHONY'S HEALTH CENTRE,57.43
Q30,North East Strategic Health Authority,5D7,Newcastle,A86601,DENTON TURRET MEDICAL CENTRE,29.33
Q30,North East Strategic Health Authority,5D7,Newcastle,Y00184,DILSTON MEDICAL CENTRE,37.21
Q30,North East Strategic Health Authority,5D7,Newcastle,Y02711,PONTELAND ROAD HEALTH CENTRE,51.76
Q30,North East Strategic Health Authority,5D7,Newcastle,Y02726,SCOTSWOOD GP PRACTICE,45.63
Q30,North East Strategic Health Authority,5D8,North Tyneside,A86005,WEST FARM SURGERY,27.70
Q30,North East Strategic Health Authority,5D8,North Tyneside,A86016,LANE END SURGERY,15.47
Q30,North East Strategic Health Authority,5D8,North Tyneside,A86041,SWARLAND AVENUE SURGERY,17.32
Q30,North East Strategic Health Authority,5D8,North Tyneside,A87002,SPRING TERRACE HEALTH CENTRE,29.00
Q30,North East Strategic Health Authority,5D8,North Tyneside,A87003,PORTUGAL PLACE HEALTH CTR,28.63
Q30,North East Strategic Health Authority,5D8,North Tyneside,A87004,COLLINGWOOD SURGERY,26.96
Q30,North East Strategic Health Authority,5D8,North Tyneside,A87005,WHITLEY BAY HEALTH CENTRE,13.27
Q30,North East Strategic Health Authority,5D8,North Tyneside,A87006,49 MARINE AVENUE SURGERY,11.44
Q30,North East Strategic Health Authority,5D8,North Tyneside,A87007,FOREST HALL HEALTH CENTRE,17.45
Q30,North East Strategic Health Authority,5D8,North Tyneside,A87008,MARINE AVENUE MEDICAL CTR,11.82
Q30,North East Strategic Health Authority,5D8,North Tyneside,A87009,PRIORY MEDICAL GROUP,22.11
Q30,North East Strategic Health Authority,5D8,North Tyneside,A87011,BEAUMONT PARK SURGERY,10.11
Q30,North East Strategic Health Authority,5D8,North Tyneside,A87012,WIDEOPEN MEDICAL CENTRE,23.32
Q30,North East Strategic Health Authority,5D8,North Tyneside,A87013,BEWICKE MEDICAL CENTRE,33.29
Q30,North East Strategic Health Authority,5D8,North Tyneside,A87014,EARSDON PARK MEDICAL PRACTICE,25.34
Q30,North East Strategic Health Authority,5D8,North Tyneside,A87015,APPLEBY SURGERY,25.73
Q30,North East Strategic Health Authority,5D8,North Tyneside,A87016,THE VILLAGE GREEN SURGERY,27.79
Q30,North East Strategic Health Authority,5D8,North Tyneside,A87017,WOODLANDS PARK HEALTH CTR,17.35
Q30,North East Strategic Health Authority,5D8,North Tyneside,A87019,NELSON MEDICAL GROUP,28.54
Q30,North East Strategic Health Authority,5D8,North Tyneside,A87020,MONKSEATON MEDICAL CENTRE,9.81
Q30,North East Strategic Health Authority,5D8,North Tyneside,A87022,SHIREMOOR RESOURCE CENTRE,22.18
Q30,North East Strategic Health Authority,5D8,North Tyneside,A87023,THE SMITH PRACTICE,22.04
Q30,North East Strategic Health Authority,5D8,North Tyneside,A87027,GARDEN PARK SURGERY,29.79
Q30,North East Strategic Health Authority,5D8,North Tyneside,A87029,PARK ROAD MEDICAL PRACT,30.69
Q30,North East Strategic Health Authority,5D8,North Tyneside,A87030,REDBURN PARK MEDICAL CENTRE,40.43
Q30,North East Strategic Health Authority,5D8,North Tyneside,A87600,PARK PARADE PRACTICE,14.87
Q30,North East Strategic Health Authority,5D8,North Tyneside,A87612,WELLSPRING MEDICAL PRACT.,21.39
Q30,North East Strategic Health Authority,5D8,North Tyneside,A87615,PRESTON & AUSTIN PRACTICE,19.88
Q30,North East Strategic Health Authority,5D8,North Tyneside,Y02710,BATTLE HILL HEALTH CENTRE,27.71
Q30,North East Strategic Health Authority,5D9,Hartlepool,A81003,THE GALLAGHER PRACTICE,42.12
Q30,North East Strategic Health Authority,5D9,Hartlepool,A81007,BANK HOUSE SURGERY,32.49
Q30,North East Strategic Health Authority,5D9,Hartlepool,A81011,CHADWICK PRACTICE,34.74
Q30,North East Strategic Health Authority,5D9,Hartlepool,A81031,HAVELOCK GRANGE PRACTICE,34.27
Q30,North East Strategic Health Authority,5D9,Hartlepool,A81041,HART MEDICAL PRACTICE,34.98
Q30,North East Strategic Health Authority,5D9,Hartlepool,A81044,MCKENZIE HOUSE SURGERY,31.34
Q30,North East Strategic Health Authority,5D9,Hartlepool,A81060,THE KOH PRACTICE,32.15
Q30,North East Strategic Health Authority,5D9,Hartlepool,A81063,THE HEADLAND MEDICAL CENTRE,38.93
Q30,North East Strategic Health Authority,5D9,Hartlepool,A81070,WYNYARD ROAD PRIMARY CARE CENTRE,42.12
Q30,North East Strategic Health Authority,5D9,Hartlepool,A81612,THE PATEL PRACTICE,23.59
Q30,North East Strategic Health Authority,5D9,Hartlepool,A81613,THE HAZLE PRACTICE,37.02
Q30,North East Strategic Health Authority,5D9,Hartlepool,A81622,GLADSTONE HOUSE SURGERY,38.63
Q30,North East Strategic Health Authority,5D9,Hartlepool,A81631,WEST VIEW MILLENIUM SURGERY A,34.51
Q30,North East Strategic Health Authority,5D9,Hartlepool,Y02501,HARTFIELDS MEDICAL PRACTICE,16.91
Q30,North East Strategic Health Authority,5D9,Hartlepool,Y02597,THE FENS MEDICAL CENTRE,26.76
Q30,North East Strategic Health Authority,5E1,Stockton-on-Tees Teaching,A81001,THE DENSHAM SURGERY,26.09
Q30,North East Strategic Health Authority,5E1,Stockton-on-Tees Teaching,A81002,QUEENS PARK MEDICAL CENTRE,28.44
Q30,North East Strategic Health Authority,5E1,Stockton-on-Tees Teaching,A81006,TENNANT STREET MEDICAL PRACTICE,29.81
Q30,North East Strategic Health Authority,5E1,Stockton-on-Tees Teaching,A81014,QUEENSTREE PRACTICE,20.84
Q30,North East Strategic Health Authority,5E1,Stockton-on-Tees Teaching,A81017,WOODBRIDGE PRACTICE,19.57
Q30,North East Strategic Health Authority,5E1,Stockton-on-Tees Teaching,A81025,THE DOVECOT SURGERY,29.86
Q30,North East Strategic Health Authority,5E1,Stockton-on-Tees Teaching,A81027,YARM MEDICAL PRACTICE,8.16
